Node,Processes,Num Threads,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
1,1,16,0.031983,0.175652,0.436208,1.210551,0.850044,3.124975,9.401107,9.538007,24.776351
1,1,16,0.031315,0.165617,0.447426,1.156948,0.856609,3.174755,9.37262,9.493279,24.706886
1,1,16,0.031972,0.177109,0.451369,1.16476,0.850927,3.20017,9.549388,9.464714,24.898474
1,1,16,0.028814,0.18332,0.452748,1.203284,0.860923,3.205802,9.588625,9.468161,24.999698
1,1,16,0.02963,0.165174,0.432811,1.163444,0.843057,3.196446,9.565126,9.476527,24.880051
1,1,1,0.020006,1.089328,0.725606,5.919156,2.850847,6.205609,10.008541,10.039822,36.866586
1,1,1,0.016689,1.045415,0.713684,5.887206,2.831038,3.175549,10.029431,9.979357,33.686284
1,1,1,0.032962,1.089006,0.749457,5.914468,2.838309,3.183224,9.994351,10.053782,33.863656
1,1,1,0.033364,1.071648,0.756029,5.904324,2.835318,3.180202,10.019686,10.020957,33.829596
1,1,1,0.032128,1.09522,0.748041,6.076387,2.799316,3.201647,10.017502,10.031251,34.009514
1,1,2,0.028528,0.569497,0.569439,3.170496,1.635486,3.160534,9.722784,9.710823,28.57541
1,1,2,0.018615,0.595715,0.570246,3.190637,1.669977,3.17604,9.700889,9.847958,28.777897
1,1,2,0.028883,0.597386,0.567755,3.168397,1.700634,3.181223,9.732782,9.738267,28.723378
1,1,2,0.029573,0.589752,0.571278,3.203013,1.698021,3.184915,9.706217,9.776165,28.766721
1,1,2,0.014905,0.602591,0.549028,3.203505,1.645499,3.175299,9.712007,9.72351,28.634313
1,1,4,0.029321,0.350352,0.502125,1.95521,1.085921,3.168343,9.643332,9.655285,26.397521
1,1,4,0.017463,0.338108,0.475601,1.931318,1.078135,3.170703,9.655914,9.546856,26.221808
1,1,4,0.028594,0.346824,0.50163,1.939284,1.078104,3.158461,9.626226,9.54926,26.236049
1,1,4,0.031344,0.348808,0.481179,1.950487,1.086387,3.143985,9.607335,9.503194,26.160196
1,1,4,0.029129,0.340346,0.488081,1.936526,1.105785,3.189586,9.61546,9.481726,26.194788
1,1,8,0.014734,0.191625,0.424667,1.413734,0.917552,3.20983,9.524161,9.429214,25.133317
1,1,8,0.029942,0.203557,0.458732,1.403145,0.902673,3.193731,9.459711,9.614271,25.273549
1,1,8,0.033189,0.208578,0.422822,1.416946,0.934972,3.172476,9.453013,9.585686,25.234924
1,1,8,0.02927,0.202388,0.450535,1.435472,0.953635,3.181729,9.471749,9.599153,25.331659
1,1,8,0.014738,0.196306,0.43931,1.417149,0.895471,3.147507,9.417852,9.550335,25.086414
1,2,16,0.018573,0.197086,0.27651,0.986457,0.665837,3.21278,9.434027,9.418027,24.217172
1,2,16,0.01853,0.210774,0.271603,0.985949,0.669384,3.167801,9.421615,9.45928,24.212233
