Node,Processes,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
1,1,0.017051,0.685408,0.693441,5.737479,2.705152,3.181625,9.952901,9.988332,32.969241
1,1,0.01601,0.625861,0.709549,5.891762,2.705588,3.17135,9.959919,9.957015,33.045105
1,1,0.015478,0.684756,0.706495,5.722114,2.648408,3.176908,9.939119,9.935021,32.836168
1,1,0.015185,0.627553,0.720423,5.728654,2.631692,3.183195,9.934324,9.959171,32.808039
1,1,0.015091,0.662602,0.715544,5.892001,2.693654,3.170749,9.977749,9.93689,33.072219
1,2,0.031134,0.629663,0.396321,2.921776,1.376777,3.177196,9.917539,9.907324,28.36471
1,2,0.020039,0.590288,0.406233,2.948655,1.368012,3.186915,9.937276,9.961602,28.426095
1,2,0.016472,0.676357,0.391462,2.943366,1.38078,3.182797,9.922319,9.920775,28.441653
1,2,0.030273,0.677888,0.407073,3.059454,1.469597,3.139074,9.992422,9.951397,28.732793
1,2,0.030312,0.615737,0.377064,2.953133,1.385109,3.19634,9.95409,9.940582,28.459502
1,4,0.036852,0.634522,0.224172,1.646564,0.760933,3.179684,9.921912,9.945964,26.357234
1,4,0.043364,0.715337,0.22852,1.676899,0.777339,3.187053,9.889183,9.91131,26.43719
1,4,0.033965,0.629511,0.225858,1.615496,0.763977,3.160451,10.512032,11.722328,28.670745
1,4,0.029254,0.704359,0.243571,1.652985,0.77513,3.148731,10.032929,9.971668,26.566196
1,4,0.048154,0.699787,0.216686,1.659506,0.772197,3.168534,9.860617,9.888778,26.322176
1,8,0.068997,0.713228,0.198938,1.189165,0.669651,3.277698,10.113104,10.090477,26.327576
1,8,0.078625,0.728421,0.19578,1.187181,0.664986,3.228233,10.085187,10.09123,26.267078
1,8,0.082631,0.705524,0.209988,1.178813,0.645289,3.251638,10.085121,10.118814,26.284634
1,8,0.078041,0.707363,0.1995,1.189028,0.655888,6.195563,18.595754,17.067418,44.695035
1,8,0.06545,0.732277,0.211428,1.20541,0.655004,6.066209,18.512082,23.75978,51.214288
