Threads,Schedule,ChunkSize,Time (s),TotalTime
2,static,16,3.507921,45.893861
2,static,16,3.591231,48.994047
2,static,16,3.623550,46.885444
2,static,16,3.619725,49.204811
2,static,16,3.564861,45.827593
2,static,32,3.336685,48.738249
2,static,32,3.329012,46.840585
2,static,32,3.332799,48.828159
2,static,32,3.345779,46.107691
2,static,32,3.267486,48.601213
2,static,64,3.226034,44.946531
2,static,64,3.278767,46.697479
2,static,64,3.273838,46.991570
2,static,64,3.240904,46.474651
2,static,64,3.293944,45.799823
2,static,128,3.157844,45.972679
2,static,128,3.122944,48.241835
2,static,128,3.138096,45.474446
2,static,128,3.145629,48.420395
2,static,128,3.152943,43.983809
2,static,256,3.172591,44.360737
2,static,256,3.152084,37.063786
2,static,256,3.150633,28.756718
2,static,256,3.140116,28.619950
2,static,256,3.279243,28.932227
2,static,512,3.173324,28.429992
2,static,512,3.089382,35.343484
2,static,512,3.152948,45.086194
2,static,512,3.151568,44.440689
2,static,512,3.064107,45.533226
2,static,1024,3.138422,45.082503
2,static,1024,3.113272,45.735230
2,static,1024,3.140396,43.224135
2,static,1024,3.145389,45.647382
2,static,1024,3.131374,44.005903
2,static,2048,3.145687,33.817963
2,static,2048,3.159141,28.506038
2,static,2048,3.132206,28.756286
2,static,2048,3.136387,28.598868
2,static,2048,3.224462,32.616868
2,static,4096,3.226134,45.340168
2,static,4096,3.230325,44.524274
2,static,4096,3.254778,44.601441
2,static,4096,3.141225,45.328136
2,static,4096,3.249188,45.715300
2,guided,16,3.228958,46.406507
2,guided,16,3.105240,45.267285
2,guided,16,3.097731,43.288469
2,guided,16,3.115122,45.439401
2,guided,16,3.123141,45.526241
2,guided,32,3.098570,44.847340
2,guided,32,3.227681,47.875309
2,guided,32,3.099204,45.545496
2,guided,32,3.102511,44.547694
2,guided,32,3.074625,45.388476
2,guided,64,3.215570,45.545335
2,guided,64,3.212671,44.977222
2,guided,64,3.218845,48.133692
2,guided,64,3.118316,44.959039
2,guided,64,3.219011,43.627499
2,guided,128,3.125397,47.487723
2,guided,128,3.078508,45.595036
2,guided,128,3.214725,46.911329
2,guided,128,3.215643,46.417177
2,guided,128,3.220600,45.148911
2,guided,256,3.116953,46.798139
2,guided,256,3.114417,46.123105
2,guided,256,3.124591,46.147403
2,guided,256,3.099467,46.999289
2,guided,256,3.115186,45.770244
2,guided,512,3.097315,46.474013
2,guided,512,3.094405,46.081707
2,guided,512,3.090049,45.144065
2,guided,512,3.110683,47.909030
2,guided,512,3.071832,46.175901
2,guided,1024,3.087399,46.573511
2,guided,1024,3.118602,45.931015
