Threads,Schedule,ChunkSize,Time (s),TotalTime
2,static,16,1.713827,45.893861
2,static,16,1.753290,48.994047
2,static,16,1.784258,46.885444
2,static,16,1.691313,49.204811
2,static,16,1.697038,45.827593
2,static,32,1.693428,48.738249
2,static,32,1.664872,46.840585
2,static,32,1.686235,48.828159
2,static,32,1.692845,46.107691
2,static,32,1.685070,48.601213
2,static,64,1.676015,44.946531
2,static,64,1.628015,46.697479
2,static,64,1.635552,46.991570
2,static,64,1.629385,46.474651
2,static,64,1.648594,45.799823
2,static,128,1.557436,45.972679
2,static,128,1.579374,48.241835
2,static,128,1.580745,45.474446
2,static,128,1.569916,48.420395
2,static,128,1.580946,43.983809
2,static,256,1.582451,44.360737
2,static,256,1.584790,37.063786
2,static,256,1.601995,28.756718
2,static,256,1.600879,28.619950
2,static,256,1.672869,28.932227
2,static,512,1.502193,28.429992
2,static,512,1.477980,35.343484
2,static,512,1.567494,45.086194
2,static,512,1.569570,44.440689
2,static,512,1.557148,45.533226
2,static,1024,1.583618,45.082503
2,static,1024,1.643952,45.735230
2,static,1024,1.635893,43.224135
2,static,1024,1.661393,45.647382
2,static,1024,1.587924,44.005903
2,static,2048,1.621732,33.817963
2,static,2048,1.574506,28.506038
2,static,2048,1.646838,28.756286
2,static,2048,1.588527,28.598868
2,static,2048,1.706936,32.616868
2,static,4096,1.621498,45.340168
2,static,4096,1.551203,44.524274
2,static,4096,1.626608,44.601441
2,static,4096,1.599026,45.328136
2,static,4096,1.565870,45.715300
2,guided,16,1.514792,46.406507
2,guided,16,1.529082,45.267285
2,guided,16,1.555973,43.288469
2,guided,16,1.564619,45.439401
2,guided,16,1.549195,45.526241
2,guided,32,1.541905,44.847340
2,guided,32,1.627278,47.875309
2,guided,32,1.547858,45.545496
2,guided,32,1.550853,44.547694
2,guided,32,1.602755,45.388476
2,guided,64,1.604845,45.545335
2,guided,64,1.619472,44.977222
2,guided,64,1.536177,48.133692
2,guided,64,1.554032,44.959039
2,guided,64,1.633019,43.627499
2,guided,128,1.552400,47.487723
2,guided,128,1.607538,45.595036
2,guided,128,1.616418,46.911329
2,guided,128,1.624950,46.417177
2,guided,128,1.544097,45.148911
2,guided,256,1.543722,46.798139
2,guided,256,1.612887,46.123105
2,guided,256,1.546404,46.147403
2,guided,256,1.608073,46.999289
2,guided,256,1.555545,45.770244
2,guided,512,1.606912,46.474013
2,guided,512,1.533180,46.081707
2,guided,512,1.537402,45.144065
2,guided,512,1.545161,47.909030
2,guided,512,1.563372,46.175901
2,guided,1024,1.549763,46.573511
2,guided,1024,1.569119,45.931015
2,guided,1024,1.550176,46.329689
2,guided,1024,1.630406,47.085318
2,guided,1024,1.538963,45.282948
2,guided,2048,1.582536,47.966186
2,guided,2048,1.557622,46.498002
2,guided,2048,1.539350,46.494685
2,guided,2048,1.532930,46.429622
2,guided,2048,1.520700,44.780355
2,guided,4096,1.570768,48.562968
2,guided,4096,1.564027,45.755224
2,guided,4096,1.555314,47.367333
2,guided,4096,1.519555,45.824504
2,guided,4096,1.553000,44.369347
2,dynamic,16,4.020192,53.209413
2,dynamic,16,4.066099,52.203283
2,dynamic,16,4.088907,49.621632
2,dynamic,16,3.891802,51.693164
2,dynamic,16,4.053755,53.517896
2,dynamic,32,3.494226,48.778960
2,dynamic,32,3.683991,51.301137
2,dynamic,32,3.415757,52.439556
2,dynamic,32,3.493954,33.470988
2,dynamic,32,3.515896,33.564576
2,dynamic,64,2.779233,31.422119
2,dynamic,64,2.653328,31.056721
2,dynamic,64,2.659039,31.194245
2,dynamic,64,2.615184,30.949688
2,dynamic,64,2.679050,30.958382
2,dynamic,128,1.940450,29.567010
2,dynamic,128,1.962284,29.759400
2,dynamic,128,1.997547,29.696282
2,dynamic,128,2.072369,30.112786
2,dynamic,128,2.037185,32.871530
2,dynamic,256,1.801543,30.893489
2,dynamic,256,1.799791,29.304713
2,dynamic,256,1.800947,29.223831
2,dynamic,256,1.846201,29.371797
2,dynamic,256,1.787951,29.120272
2,dynamic,512,1.674904,28.928137
2,dynamic,512,1.678384,28.807468
2,dynamic,512,1.692504,28.905399
2,dynamic,512,1.759472,28.931428
2,dynamic,512,1.695611,28.912368
2,dynamic,1024,1.627895,28.798553
2,dynamic,1024,1.691218,29.070462
2,dynamic,1024,1.637081,28.807916
2,dynamic,1024,1.629370,29.180091
2,dynamic,1024,1.695907,28.748748
2,dynamic,2048,1.575705,28.643283
2,dynamic,2048,1.658292,28.847808
2,dynamic,2048,1.580040,28.571399
2,dynamic,2048,1.657805,28.855188
2,dynamic,2048,1.596038,28.639973
2,dynamic,4096,1.557810,29.676290
2,dynamic,4096,1.580767,31.428111
2,dynamic,4096,1.530100,38.061863
2,dynamic,4096,1.529480,28.806389
2,dynamic,4096,1.619969,44.962405
4,static,16,1.128200,43.619094
4,static,16,1.065167,43.540177
4,static,16,1.119969,45.387686
4,static,16,1.204189,41.095547
4,static,16,1.063983,41.448829
4,static,32,1.073461,40.683536
4,static,32,1.052770,41.071787
4,static,32,1.047593,40.426786
4,static,32,1.072683,38.855284
4,static,32,1.037817,39.792106
4,static,64,1.074161,39.688071
4,static,64,1.015344,49.404979
4,static,64,1.129617,40.155689
4,static,64,1.056661,37.969827
4,static,64,1.041352,40.840908
4,static,128,1.059159,44.021989
4,static,128,1.089964,42.624048
4,static,128,1.061847,39.208595
4,static,128,1.067594,38.548790
4,static,128,1.067763,31.970167
4,static,256,1.062233,33.503446
4,static,256,1.011152,40.992065
4,static,256,1.025785,41.103294
4,static,256,1.030917,41.095652
4,static,256,1.044012,41.341846
4,static,512,1.043369,41.420760
4,static,512,1.019972,47.149706
4,static,512,1.021368,43.924970
4,static,512,1.031236,44.102953
4,static,512,0.999826,44.160042
4,static,1024,1.023190,60.326102
4,static,1024,1.038223,64.163497
4,static,1024,1.005084,60.695023
4,static,1024,1.013058,62.511869
4,static,1024,1.002048,44.645349
4,static,2048,1.030705,42.828927
4,static,2048,1.032853,42.849795
4,static,2048,1.036554,53.091156
4,static,2048,1.011025,42.917335
4,static,2048,1.017926,43.636922
4,static,4096,1.011885,42.554107
4,static,4096,1.008095,45.222309
4,static,4096,1.003375,43.780211
4,static,4096,0.994385,44.503601
4,static,4096,0.999865,46.146274
4,guided,16,0.993031,45.590698
4,guided,16,1.015789,44.711995
4,guided,16,0.997779,43.314437
4,guided,16,0.976165,42.578157
4,guided,16,0.988931,36.305172
4,guided,32,0.972624,45.713224
4,guided,32,0.965662,62.227304
4,guided,32,0.991767,60.521688
4,guided,32,1.008196,48.432823
4,guided,32,1.011316,44.244350
4,guided,64,1.003902,42.537560
4,guided,64,1.011074,45.403621
4,guided,64,1.005202,42.542206
4,guided,64,1.007753,46.363350
4,guided,64,1.016098,46.746970
4,guided,128,0.999344,44.046919
4,guided,128,1.001251,45.839379
4,guided,128,0.995495,47.417132
4,guided,128,0.988050,43.970119
4,guided,128,0.999792,47.123482
4,guided,256,1.014767,47.164972
4,guided,256,0.997561,46.244197
4,guided,256,1.013261,43.651251
4,guided,256,1.000358,47.319534
4,guided,256,1.019166,46.925710
4,guided,512,0.995780,44.368525
4,guided,512,0.999106,47.298457
4,guided,512,1.019342,44.780325
4,guided,512,1.009509,47.301926
4,guided,512,1.004115,47.354918
4,guided,1024,0.965612,47.194456
4,guided,1024,0.996770,47.440327
4,guided,1024,0.990800,44.568288
4,guided,1024,0.996675,26.214865
4,guided,1024,0.992660,25.882522
4,guided,2048,0.993899,25.830219
4,guided,2048,0.999736,26.280828
4,guided,2048,1.010757,37.039148
4,guided,2048,0.997852,42.939630
4,guided,2048,1.021579,44.920321
4,guided,4096,1.003319,43.498772
4,guided,4096,1.005003,44.052638
4,guided,4096,0.988366,43.419741
4,guided,4096,0.973647,43.132951
4,guided,4096,0.995223,45.098525
4,dynamic,16,3.375152,48.874959
4,dynamic,16,3.483746,47.263644
4,dynamic,16,3.514948,32.292002
4,dynamic,16,3.521102,32.062496
4,dynamic,16,3.575193,32.344637
4,dynamic,32,2.310217,29.524722
4,dynamic,32,2.320487,29.704697
4,dynamic,32,2.332310,29.604198
4,dynamic,32,2.313487,29.641297
4,dynamic,32,2.335872,29.653431
4,dynamic,64,1.469920,27.191635
4,dynamic,64,1.487612,27.204395
4,dynamic,64,1.489723,35.594002
4,dynamic,64,1.492852,44.159370
4,dynamic,64,1.503461,46.810946
4,dynamic,128,1.192573,44.080036
4,dynamic,128,1.196130,43.607284
4,dynamic,128,1.217187,43.818640
4,dynamic,128,1.177840,45.480228
4,dynamic,128,1.180443,34.008805
