Threads,Schedule,ChunkSize,Time (s),TotalTime
2,static,16,0.636826,45.893861
2,static,16,0.495810,48.994047
2,static,16,0.489257,46.885444
2,static,16,0.596018,49.204811
2,static,16,0.388702,45.827593
2,static,32,0.386310,48.738249
2,static,32,0.637197,46.840585
2,static,32,0.646856,48.828159
2,static,32,0.391842,46.107691
2,static,32,0.663718,48.601213
2,static,64,0.592029,44.946531
2,static,64,0.670549,46.697479
2,static,64,0.671632,46.991570
2,static,64,0.656121,46.474651
2,static,64,0.667859,45.799823
2,static,128,0.658320,45.972679
2,static,128,0.679009,48.241835
2,static,128,0.666779,45.474446
2,static,128,0.663463,48.420395
2,static,128,0.666013,43.983809
2,static,256,0.665141,44.360737
2,static,256,0.657213,37.063786
2,static,256,0.666640,28.756718
2,static,256,0.662626,28.619950
2,static,256,0.681044,28.932227
2,static,512,0.481527,28.429992
2,static,512,0.480027,35.343484
2,static,512,0.659238,45.086194
2,static,512,0.485640,44.440689
2,static,512,0.481979,45.533226
2,static,1024,0.658186,45.082503
2,static,1024,0.662978,45.735230
2,static,1024,0.659014,43.224135
2,static,1024,0.599623,45.647382
2,static,1024,0.660595,44.005903
2,static,2048,0.704463,33.817963
2,static,2048,0.477959,28.506038
2,static,2048,0.657066,28.756286
2,static,2048,0.641202,28.598868
2,static,2048,0.509791,32.616868
2,static,4096,0.664142,45.340168
2,static,4096,0.656784,44.524274
2,static,4096,0.672594,44.601441
2,static,4096,0.653044,45.328136
2,static,4096,0.673510,45.715300
2,guided,16,0.653414,46.406507
2,guided,16,0.634458,45.267285
2,guided,16,0.513827,43.288469
2,guided,16,0.652543,45.439401
2,guided,16,0.664507,45.526241
2,guided,32,0.659510,44.847340
2,guided,32,0.676233,47.875309
2,guided,32,0.608769,45.545496
2,guided,32,0.646118,44.547694
2,guided,32,0.623930,45.388476
2,guided,64,0.675096,45.545335
2,guided,64,0.661476,44.977222
2,guided,64,0.643392,48.133692
2,guided,64,0.603877,44.959039
2,guided,64,0.664204,43.627499
2,guided,128,0.664325,47.487723
2,guided,128,0.631981,45.595036
2,guided,128,0.646822,46.911329
2,guided,128,0.628460,46.417177
2,guided,128,0.663860,45.148911
2,guided,256,0.624446,46.798139
2,guided,256,0.609928,46.123105
2,guided,256,0.599641,46.147403
2,guided,256,0.634768,46.999289
2,guided,256,0.615925,45.770244
2,guided,512,0.628914,46.474013
2,guided,512,0.621042,46.081707
2,guided,512,0.619532,45.144065
2,guided,512,0.634535,47.909030
2,guided,512,0.652225,46.175901
2,guided,1024,0.633490,46.573511
2,guided,1024,0.656751,45.931015
2,guided,1024,0.663486,46.329689
2,guided,1024,0.648814,47.085318
2,guided,1024,0.654513,45.282948
2,guided,2048,0.640069,47.966186
2,guided,2048,0.648236,46.498002
2,guided,2048,0.604898,46.494685
2,guided,2048,0.655367,46.429622
2,guided,2048,0.583854,44.780355
2,guided,4096,0.634783,48.562968
2,guided,4096,0.607027,45.755224
2,guided,4096,0.636911,47.367333
2,guided,4096,0.666162,45.824504
2,guided,4096,0.617612,44.369347
2,dynamic,16,0.951941,53.209413
2,dynamic,16,0.919575,52.203283
2,dynamic,16,0.977591,49.621632
2,dynamic,16,1.097780,51.693164
2,dynamic,16,0.866835,53.517896
2,dynamic,32,0.932702,48.778960
2,dynamic,32,0.944418,51.301137
2,dynamic,32,0.904968,52.439556
2,dynamic,32,0.907894,33.470988
2,dynamic,32,0.919493,33.564576
2,dynamic,64,0.769272,31.422119
2,dynamic,64,0.727049,31.056721
2,dynamic,64,0.748111,31.194245
2,dynamic,64,0.711334,30.949688
2,dynamic,64,0.719972,30.958382
2,dynamic,128,0.651366,29.567010
2,dynamic,128,0.688345,29.759400
2,dynamic,128,0.645768,29.696282
2,dynamic,128,0.632687,30.112786
2,dynamic,128,0.694760,32.871530
2,dynamic,256,0.625923,30.893489
2,dynamic,256,0.654092,29.304713
2,dynamic,256,0.639501,29.223831
2,dynamic,256,0.686716,29.371797
2,dynamic,256,0.665400,29.120272
2,dynamic,512,0.659582,28.928137
2,dynamic,512,0.653677,28.807468
2,dynamic,512,0.667595,28.905399
2,dynamic,512,0.642376,28.931428
2,dynamic,512,0.627156,28.912368
2,dynamic,1024,0.644686,28.798553
2,dynamic,1024,0.682886,29.070462
2,dynamic,1024,0.621653,28.807916
2,dynamic,1024,0.643699,29.180091
2,dynamic,1024,0.621328,28.748748
2,dynamic,2048,0.638657,28.643283
2,dynamic,2048,0.669450,28.847808
2,dynamic,2048,0.636183,28.571399
2,dynamic,2048,0.684829,28.855188
2,dynamic,2048,0.661575,28.639973
2,dynamic,4096,0.661164,29.676290
2,dynamic,4096,0.663029,31.428111
2,dynamic,4096,0.587580,38.061863
2,dynamic,4096,0.642092,28.806389
2,dynamic,4096,0.672361,44.962405
4,static,16,0.434997,43.619094
4,static,16,0.373929,43.540177
4,static,16,0.379484,45.387686
4,static,16,0.389642,41.095547
4,static,16,0.391094,41.448829
4,static,32,0.390333,40.683536
4,static,32,0.383349,41.071787
4,static,32,0.386558,40.426786
4,static,32,0.392190,38.855284
4,static,32,0.382625,39.792106
4,static,64,0.401122,39.688071
4,static,64,0.376200,49.404979
4,static,64,0.398422,40.155689
4,static,64,0.317457,37.969827
4,static,64,0.407178,40.840908
4,static,128,0.381835,44.021989
4,static,128,0.393359,42.624048
4,static,128,0.317013,39.208595
4,static,128,0.330909,38.548790
4,static,128,0.393567,31.970167
4,static,256,0.383002,33.503446
4,static,256,0.392741,40.992065
4,static,256,0.340884,41.103294
4,static,256,0.363827,41.095652
4,static,256,0.384451,41.341846
4,static,512,0.376457,41.420760
4,static,512,0.377125,47.149706
4,static,512,0.385257,43.924970
4,static,512,0.348964,44.102953
4,static,512,0.376428,44.160042
4,static,1024,0.381350,60.326102
4,static,1024,0.346197,64.163497
4,static,1024,0.371008,60.695023
4,static,1024,0.290675,62.511869
4,static,1024,0.301102,44.645349
4,static,2048,0.376456,42.828927
4,static,2048,0.376282,42.849795
4,static,2048,0.357673,53.091156
4,static,2048,0.359769,42.917335
4,static,2048,0.376523,43.636922
4,static,4096,0.381133,42.554107
4,static,4096,0.384765,45.222309
4,static,4096,0.374313,43.780211
4,static,4096,0.374677,44.503601
4,static,4096,0.373361,46.146274
4,guided,16,0.375939,45.590698
4,guided,16,0.376340,44.711995
4,guided,16,0.355712,43.314437
4,guided,16,0.366738,42.578157
4,guided,16,0.349328,36.305172
4,guided,32,0.353398,45.713224
4,guided,32,0.365549,62.227304
4,guided,32,0.352379,60.521688
4,guided,32,0.362779,48.432823
4,guided,32,0.371224,44.244350
4,guided,64,0.369708,42.537560
4,guided,64,0.360752,45.403621
4,guided,64,0.363816,42.542206
4,guided,64,0.374819,46.363350
4,guided,64,0.326465,46.746970
4,guided,128,0.358356,44.046919
4,guided,128,0.344133,45.839379
4,guided,128,0.348138,47.417132
4,guided,128,0.365049,43.970119
4,guided,128,0.366686,47.123482
4,guided,256,0.358073,47.164972
4,guided,256,0.353964,46.244197
4,guided,256,0.348790,43.651251
4,guided,256,0.327692,47.319534
4,guided,256,0.359880,46.925710
4,guided,512,0.351844,44.368525
4,guided,512,0.377070,47.298457
4,guided,512,0.381177,44.780325
4,guided,512,0.367895,47.301926
4,guided,512,0.359216,47.354918
4,guided,1024,0.346582,47.194456
4,guided,1024,0.344283,47.440327
4,guided,1024,0.363822,44.568288
4,guided,1024,0.358235,26.214865
