Threads,Schedule,ChunkSize,Time (s),TotalTime
2,static,16,15.342228,45.893861
2,static,16,17.938897,48.994047
2,static,16,18.299292,46.885444
2,static,16,18.358577,49.204811
2,static,16,15.086687,45.827593
2,static,32,18.090330,48.738249
2,static,32,18.395358,46.840585
2,static,32,18.752493,48.828159
2,static,32,16.093516,46.107691
2,static,32,17.847533,48.601213
2,static,64,18.265335,44.946531
2,static,64,18.398750,46.697479
2,static,64,16.038487,46.991570
2,static,64,15.887006,46.474651
2,static,64,18.566579,45.799823
2,static,128,18.286257,45.972679
2,static,128,18.771984,48.241835
2,static,128,15.508305,45.474446
2,static,128,17.842908,48.420395
2,static,128,18.360632,43.983809
2,static,256,18.315214,44.360737
2,static,256,15.060395,37.063786
2,static,256,9.767846,28.756718
2,static,256,9.732094,28.619950
2,static,256,9.738197,28.932227
2,static,512,9.763197,28.429992
2,static,512,10.756290,35.343484
2,static,512,14.858938,45.086194
2,static,512,14.015077,44.440689
2,static,512,15.828442,45.533226
2,static,1024,17.534821,45.082503
2,static,1024,18.263772,45.735230
2,static,1024,18.375873,43.224135
2,static,1024,18.407636,45.647382
2,static,1024,15.858687,44.005903
2,static,2048,11.978997,33.817963
2,static,2048,9.786931,28.506038
2,static,2048,9.741147,28.756286
2,static,2048,9.705167,28.598868
2,static,2048,10.035874,32.616868
2,static,4096,17.338344,45.340168
2,static,4096,15.817668,44.524274
2,static,4096,13.936437,44.601441
2,static,4096,14.828498,45.328136
2,static,4096,15.829122,45.715300
2,guided,16,18.349964,46.406507
2,guided,16,18.324288,45.267285
2,guided,16,18.132111,43.288469
2,guided,16,18.247752,45.439401
2,guided,16,16.111390,45.526241
2,guided,32,14.479958,44.847340
2,guided,32,16.980603,47.875309
2,guided,32,18.666770,45.545496
2,guided,32,18.059320,44.547694
2,guided,32,18.179533,45.388476
2,guided,64,16.002331,45.545335
2,guided,64,14.313423,44.977222
2,guided,64,17.561891,48.133692
2,guided,64,18.298783,44.959039
2,guided,64,18.298290,43.627499
2,guided,128,17.816047,47.487723
2,guided,128,15.932079,45.595036
2,guided,128,16.279834,46.911329
2,guided,128,18.474721,46.417177
2,guided,128,18.247686,45.148911
2,guided,256,18.335710,46.798139
2,guided,256,15.953274,46.123105
2,guided,256,15.656870,46.147403
2,guided,256,17.765827,46.999289
2,guided,256,18.125643,45.770244
2,guided,512,18.127221,46.474013
2,guided,512,16.065420,46.081707
2,guided,512,14.811497,45.144065
2,guided,512,17.843940,47.909030
2,guided,512,18.256786,46.175901
2,guided,1024,18.227141,46.573511
2,guided,1024,15.875411,45.931015
2,guided,1024,15.516842,46.329689
2,guided,1024,17.959104,47.085318
2,guided,1024,18.215150,45.282948
2,guided,2048,18.593733,47.966186
2,guided,2048,15.995144,46.498002
