Threads,Schedule,ChunkSize,Time (s),TotalTime
2,static,16,18.294659,45.893861
2,static,16,18.388026,48.994047
2,static,16,16.169152,46.885444
2,static,16,18.081472,49.204811
2,static,16,18.415261,45.827593
2,static,32,18.402771,48.738249
2,static,32,16.085207,46.840585
2,static,32,17.647570,48.828159
2,static,32,18.264868,46.107691
2,static,32,18.379742,48.601213
2,static,64,15.988673,44.946531
2,static,64,15.949300,46.697479
2,static,64,18.781152,46.991570
2,static,64,18.271555,46.474651
2,static,64,17.110935,45.799823
2,static,128,15.802975,45.972679
2,static,128,17.287907,48.241835
2,static,128,18.415115,45.474446
2,static,128,18.380194,48.420395
2,static,128,16.112466,43.983809
2,static,256,14.276081,44.360737
2,static,256,9.818228,37.063786
2,static,256,9.784860,28.756718
2,static,256,9.730180,28.619950
2,static,256,9.780776,28.932227
2,static,512,9.746773,28.429992
2,static,512,15.845606,35.343484
2,static,512,18.584772,45.086194
2,static,512,18.444210,44.440689
2,static,512,18.311792,45.533226
2,static,1024,18.165505,45.082503
2,static,1024,15.920058,45.735230
2,static,1024,14.184862,43.224135
2,static,1024,15.055589,45.647382
2,static,1024,15.987348,44.005903
2,static,2048,9.792087,33.817963
2,static,2048,9.747159,28.506038
2,static,2048,9.787794,28.756286
2,static,2048,9.737178,28.598868
2,static,2048,13.330469,32.616868
2,static,4096,15.711081,45.340168
2,static,4096,16.997317,44.524274
2,static,4096,18.158031,44.601441
2,static,4096,18.194169,45.328136
2,static,4096,18.298849,45.715300
2,guided,16,17.979719,46.406507
2,guided,16,15.774591,45.267285
2,guided,16,15.332418,43.288469
2,guided,16,14.900637,45.439401
2,guided,16,17.214355,45.526241
2,guided,32,18.202487,44.847340
2,guided,32,18.462484,47.875309
2,guided,32,17.725240,45.545496
2,guided,32,15.890753,44.547694
2,guided,32,15.003482,45.388476
2,guided,64,17.178110,45.545335
2,guided,64,18.226044,44.977222
2,guided,64,18.275355,48.133692
2,guided,64,16.723441,44.959039
2,guided,64,14.539162,43.627499
2,guided,128,17.453507,47.487723
2,guided,128,18.182154,45.595036
2,guided,128,18.292889,46.911329
2,guided,128,17.924502,46.417177
2,guided,128,15.987345,45.148911
2,guided,256,16.288706,46.798139
2,guided,256,18.581775,46.123105
2,guided,256,18.289957,46.147403
2,guided,256,18.755474,46.999289
2,guided,256,15.953193,45.770244
2,guided,512,16.095987,46.474013
2,guided,512,18.146674,46.081707
2,guided,512,18.233867,45.144065
2,guided,512,18.651986,47.909030
2,guided,512,15.951125,46.175901
2,guided,1024,16.194875,46.573511
2,guided,1024,18.366789,45.931015
2,guided,1024,18.418338,46.329689
2,guided,1024,18.402718,47.085318
2,guided,1024,15.887815,45.282948
2,guided,2048,17.052955,47.966186
2,guided,2048,19.137671,46.498002
2,guided,2048,18.437399,46.494685
2,guided,2048,17.890546,46.429622
2,guided,2048,15.439384,44.780355
2,guided,4096,17.805375,48.562968
2,guided,4096,18.145744,45.755224
2,guided,4096,18.487387,47.367333
2,guided,4096,17.259513,45.824504
2,guided,4096,15.000894,44.369347
2,dynamic,16,19.319836,53.209413
2,dynamic,16,18.357567,52.203283
2,dynamic,16,14.001629,49.621632
2,dynamic,16,17.606033,51.693164
2,dynamic,16,18.549565,53.517896
2,dynamic,32,14.052018,48.778960
2,dynamic,32,18.404163,51.301137
2,dynamic,32,18.838399,52.439556
2,dynamic,32,9.926982,33.470988
2,dynamic,32,10.003072,33.564576
2,dynamic,64,9.918397,31.422119
2,dynamic,64,9.924355,31.056721
2,dynamic,64,10.027765,31.194245
2,dynamic,64,9.930513,30.949688
2,dynamic,64,9.877718,30.958382
2,dynamic,128,9.808302,29.567010
2,dynamic,128,9.977133,29.759400
2,dynamic,128,9.846858,29.696282
2,dynamic,128,10.275440,30.112786
2,dynamic,128,11.486128,32.871530
2,dynamic,256,10.110413,30.893489
2,dynamic,256,9.926547,29.304713
2,dynamic,256,9.854921,29.223831
2,dynamic,256,9.839863,29.371797
2,dynamic,256,9.840004,29.120272
2,dynamic,512,9.752681,28.928137
2,dynamic,512,9.798434,28.807468
2,dynamic,512,9.782322,28.905399
2,dynamic,512,9.768115,28.931428
2,dynamic,512,9.779887,28.912368
2,dynamic,1024,9.843840,28.798553
2,dynamic,1024,9.827199,29.070462
2,dynamic,1024,9.801941,28.807916
2,dynamic,1024,10.224061,29.180091
2,dynamic,1024,9.744717,28.748748
2,dynamic,2048,9.803426,28.643283
2,dynamic,2048,9.773038,28.847808
2,dynamic,2048,9.780813,28.571399
2,dynamic,2048,9.733912,28.855188
2,dynamic,2048,9.747061,28.639973
2,dynamic,4096,10.902709,29.676290
2,dynamic,4096,10.788896,31.428111
2,dynamic,4096,10.572725,38.061863
2,dynamic,4096,9.768037,28.806389
2,dynamic,4096,17.184930,44.962405
4,static,16,15.913308,43.619094
4,static,16,15.063804,43.540177
4,static,16,17.935762,45.387686
4,static,16,17.734456,41.095547
4,static,16,17.842210,41.448829
4,static,32,17.758096,40.683536
4,static,32,17.808902,41.071787
4,static,32,17.812805,40.426786
4,static,32,17.667411,38.855284
4,static,32,16.248911,39.792106
4,static,64,13.873607,39.688071
4,static,64,17.234752,49.404979
4,static,64,12.515318,40.155689
4,static,64,10.015726,37.969827
4,static,64,13.607821,40.840908
4,static,128,17.622212,44.021989
4,static,128,18.056728,42.624048
4,static,128,18.187619,39.208595
4,static,128,17.507656,38.548790
4,static,128,10.107098,31.970167
4,static,256,16.865259,33.503446
4,static,256,17.324206,40.992065
4,static,256,16.360116,41.103294
4,static,256,15.352663,41.095652
4,static,256,14.544405,41.341846
4,static,512,13.741378,41.420760
4,static,512,14.939399,47.149706
4,static,512,15.769519,43.924970
4,static,512,17.624174,44.102953
4,static,512,18.732531,44.160042
4,static,1024,26.316244,60.326102
4,static,1024,25.687721,64.163497
4,static,1024,26.113798,60.695023
4,static,1024,25.727597,62.511869
4,static,1024,16.636059,44.645349
4,static,2048,15.792952,42.828927
4,static,2048,14.601933,42.849795
4,static,2048,24.699786,53.091156
4,static,2048,17.990412,42.917335
4,static,2048,18.112824,43.636922
4,static,4096,18.239889,42.554107
4,static,4096,18.526981,45.222309
4,static,4096,18.371013,43.780211
4,static,4096,17.337028,44.503601
4,static,4096,17.852811,46.146274
4,guided,16,18.374190,45.590698
4,guided,16,18.545351,44.711995
4,guided,16,18.164406,43.314437
4,guided,16,18.445736,42.578157
4,guided,16,16.601046,36.305172
4,guided,32,20.146562,45.713224
4,guided,32,25.480203,62.227304
4,guided,32,25.502429,60.521688
4,guided,32,18.014248,48.432823
4,guided,32,18.144284,44.244350
4,guided,64,14.385627,42.537560
4,guided,64,16.828365,45.403621
4,guided,64,16.086348,42.542206
4,guided,64,18.524609,46.363350
4,guided,64,18.684715,46.746970
4,guided,128,18.630143,44.046919
4,guided,128,18.747016,45.839379
4,guided,128,18.826166,47.417132
4,guided,128,18.342966,43.970119
4,guided,128,18.692828,47.123482
4,guided,256,18.586772,47.164972
4,guided,256,18.087381,46.244197
4,guided,256,15.119988,43.651251
4,guided,256,18.715379,47.319534
4,guided,256,18.245088,46.925710
4,guided,512,18.619269,44.368525
4,guided,512,18.689671,47.298457
4,guided,512,16.256050,44.780325
4,guided,512,18.717191,47.301926
4,guided,512,18.735922,47.354918
4,guided,1024,18.678528,47.194456
4,guided,1024,18.797697,47.440327
4,guided,1024,16.327780,44.568288
4,guided,1024,9.659497,26.214865
4,guided,1024,9.549073,25.882522
4,guided,2048,9.453495,25.830219
4,guided,2048,9.698393,26.280828
4,guided,2048,18.394963,37.039148
4,guided,2048,18.194711,42.939630
4,guided,2048,18.228455,44.920321
4,guided,4096,18.177036,43.498772
4,guided,4096,16.515215,44.052638
4,guided,4096,15.941616,43.419741
4,guided,4096,15.158238,43.132951
4,guided,4096,17.750115,45.098525
4,dynamic,16,18.578190,48.874959
4,dynamic,16,15.708921,47.263644
4,dynamic,16,9.862196,32.292002
4,dynamic,16,9.870374,32.062496
4,dynamic,16,9.846572,32.344637
4,dynamic,32,9.713251,29.524722
4,dynamic,32,9.792167,29.704697
4,dynamic,32,9.757619,29.604198
4,dynamic,32,9.785092,29.641297
4,dynamic,32,9.751895,29.653431
4,dynamic,64,9.628754,27.191635
4,dynamic,64,9.622321,27.204395
4,dynamic,64,17.707699,35.594002
4,dynamic,64,18.304281,44.159370
4,dynamic,64,18.319350,46.810946
4,dynamic,128,17.883422,44.080036
