Threads,Schedule,ChunkSize,Time (s),TotalTime
2,static,16,0.602158,45.893861
2,static,16,0.592993,48.994047
2,static,16,0.568506,46.885444
2,static,16,0.597248,49.204811
2,static,16,0.593177,45.827593
2,static,32,0.579143,48.738249
2,static,32,0.547895,46.840585
2,static,32,0.534103,48.828159
2,static,32,0.554808,46.107691
2,static,32,0.534922,48.601213
2,static,64,0.572956,44.946531
2,static,64,0.536099,46.697479
2,static,64,0.553632,46.991570
2,static,64,0.560766,46.474651
2,static,64,0.561253,45.799823
2,static,128,0.560391,45.972679
2,static,128,0.545431,48.241835
2,static,128,0.518814,45.474446
2,static,128,0.559741,48.420395
2,static,128,0.554029,43.983809
2,static,256,0.565188,44.360737
2,static,256,0.545833,37.063786
2,static,256,0.523014,28.756718
2,static,256,0.547104,28.619950
2,static,256,0.569088,28.932227
2,static,512,0.538308,28.429992
2,static,512,0.473387,35.343484
2,static,512,0.497929,45.086194
2,static,512,0.524535,44.440689
2,static,512,0.519561,45.533226
2,static,1024,0.570853,45.082503
2,static,1024,0.550663,45.735230
2,static,1024,0.564972,43.224135
2,static,1024,0.526747,45.647382
2,static,1024,0.520156,44.005903
2,static,2048,0.736547,33.817963
2,static,2048,0.527279,28.506038
2,static,2048,0.548584,28.756286
2,static,2048,0.539739,28.598868
2,static,2048,0.567882,32.616868
2,static,4096,0.550598,45.340168
2,static,4096,0.560423,44.524274
2,static,4096,0.573628,44.601441
2,static,4096,0.555478,45.328136
2,static,4096,0.569862,45.715300
2,guided,16,0.528508,46.406507
2,guided,16,0.540656,45.267285
2,guided,16,0.553502,43.288469
2,guided,16,0.548035,45.439401
2,guided,16,0.514977,45.526241
2,guided,32,0.545255,44.847340
2,guided,32,0.509297,47.875309
2,guided,32,0.537258,45.545496
2,guided,32,0.543739,44.547694
2,guided,32,0.548925,45.388476
2,guided,64,0.533525,45.545335
2,guided,64,0.558753,44.977222
2,guided,64,0.531145,48.133692
2,guided,64,0.548822,44.959039
2,guided,64,0.519829,43.627499
2,guided,128,0.528374,47.487723
2,guided,128,0.520081,45.595036
2,guided,128,0.540849,46.911329
2,guided,128,0.548888,46.417177
2,guided,128,0.542734,45.148911
2,guided,256,0.539358,46.798139
2,guided,256,0.552091,46.123105
2,guided,256,0.536379,46.147403
2,guided,256,0.545094,46.999289
2,guided,256,0.554040,45.770244
2,guided,512,0.509254,46.474013
2,guided,512,0.542529,46.081707
2,guided,512,0.526943,45.144065
2,guided,512,0.545565,47.909030
2,guided,512,0.514741,46.175901
2,guided,1024,0.537732,46.573511
2,guided,1024,0.531845,45.931015
2,guided,1024,0.548646,46.329689
2,guided,1024,0.540129,47.085318
2,guided,1024,0.541033,45.282948
2,guided,2048,0.522880,47.966186
2,guided,2048,0.542529,46.498002
2,guided,2048,0.521183,46.494685
2,guided,2048,0.551732,46.429622
2,guided,2048,0.521796,44.780355
2,guided,4096,0.544152,48.562968
2,guided,4096,0.539953,45.755224
2,guided,4096,0.547552,47.367333
2,guided,4096,0.530029,45.824504
2,guided,4096,0.544645,44.369347
2,dynamic,16,0.733482,53.209413
2,dynamic,16,0.746455,52.203283
2,dynamic,16,0.757676,49.621632
2,dynamic,16,0.752853,51.693164
2,dynamic,16,0.760464,53.517896
2,dynamic,32,0.681432,48.778960
2,dynamic,32,0.683776,51.301137
2,dynamic,32,0.654888,52.439556
2,dynamic,32,0.689774,33.470988
2,dynamic,32,0.689103,33.564576
2,dynamic,64,0.612935,31.422119
2,dynamic,64,0.597643,31.056721
2,dynamic,64,0.602991,31.194245
2,dynamic,64,0.587861,30.949688
2,dynamic,64,0.595919,30.958382
2,dynamic,128,0.588601,29.567010
2,dynamic,128,0.545204,29.759400
2,dynamic,128,0.591279,29.696282
2,dynamic,128,0.568627,30.112786
2,dynamic,128,0.588953,32.871530
2,dynamic,256,0.565916,30.893489
2,dynamic,256,0.575291,29.304713
2,dynamic,256,0.577150,29.223831
2,dynamic,256,0.559040,29.371797
2,dynamic,256,0.544302,29.120272
2,dynamic,512,0.567550,28.928137
2,dynamic,512,0.550310,28.807468
2,dynamic,512,0.554735,28.905399
2,dynamic,512,0.572320,28.931428
2,dynamic,512,0.549437,28.912368
2,dynamic,1024,0.527782,28.798553
2,dynamic,1024,0.559296,29.070462
2,dynamic,1024,0.543608,28.807916
2,dynamic,1024,0.557711,29.180091
2,dynamic,1024,0.528364,28.748748
2,dynamic,2048,0.538184,28.643283
2,dynamic,2048,0.524974,28.847808
2,dynamic,2048,0.519841,28.571399
2,dynamic,2048,0.553155,28.855188
2,dynamic,2048,0.557995,28.639973
2,dynamic,4096,0.528833,29.676290
2,dynamic,4096,0.556030,31.428111
2,dynamic,4096,0.537626,38.061863
2,dynamic,4096,0.549398,28.806389
2,dynamic,4096,0.552386,44.962405
4,static,16,0.472994,43.619094
4,static,16,0.491357,43.540177
4,static,16,0.493977,45.387686
4,static,16,0.497771,41.095547
4,static,16,0.491145,41.448829
4,static,32,0.459506,40.683536
4,static,32,0.454394,41.071787
4,static,32,0.446378,40.426786
4,static,32,0.429372,38.855284
4,static,32,0.479538,39.792106
4,static,64,0.472193,39.688071
4,static,64,0.457563,49.404979
4,static,64,0.462913,40.155689
4,static,64,0.473178,37.969827
4,static,64,0.479469,40.840908
4,static,128,0.453830,44.021989
4,static,128,0.486573,42.624048
4,static,128,0.446663,39.208595
4,static,128,0.477260,38.548790
4,static,128,0.492706,31.970167
4,static,256,0.437090,33.503446
4,static,256,0.465747,40.992065
4,static,256,0.481315,41.103294
4,static,256,0.458744,41.095652
4,static,256,0.429032,41.341846
4,static,512,0.445481,41.420760
4,static,512,0.447779,47.149706
4,static,512,0.448388,43.924970
4,static,512,0.472184,44.102953
4,static,512,0.473634,44.160042
4,static,1024,0.478084,60.326102
4,static,1024,0.479538,64.163497
4,static,1024,0.471648,60.695023
4,static,1024,0.480128,62.511869
4,static,1024,0.449381,44.645349
4,static,2048,0.440068,42.828927
4,static,2048,0.468960,42.849795
4,static,2048,0.460362,53.091156
4,static,2048,0.469772,42.917335
4,static,2048,0.475132,43.636922
4,static,4096,0.464832,42.554107
4,static,4096,0.473621,45.222309
4,static,4096,0.471963,43.780211
4,static,4096,0.457212,44.503601
4,static,4096,0.478018,46.146274
4,guided,16,0.465280,45.590698
4,guided,16,0.468526,44.711995
4,guided,16,0.457996,43.314437
4,guided,16,0.473937,42.578157
4,guided,16,0.446003,36.305172
4,guided,32,0.452139,45.713224
4,guided,32,0.465760,62.227304
4,guided,32,0.453509,60.521688
4,guided,32,0.423009,48.432823
4,guided,32,0.462609,44.244350
4,guided,64,0.451793,42.537560
4,guided,64,0.481134,45.403621
4,guided,64,0.469735,42.542206
4,guided,64,0.437043,46.363350
4,guided,64,0.468931,46.746970
4,guided,128,0.461158,44.046919
4,guided,128,0.473009,45.839379
4,guided,128,0.460311,47.417132
4,guided,128,0.465905,43.970119
4,guided,128,0.460565,47.123482
4,guided,256,0.471821,47.164972
4,guided,256,0.469773,46.244197
4,guided,256,0.473704,43.651251
4,guided,256,0.467787,47.319534
4,guided,256,0.467383,46.925710
4,guided,512,0.464352,44.368525
4,guided,512,0.446147,47.298457
4,guided,512,0.466069,44.780325
4,guided,512,0.455835,47.301926
4,guided,512,0.472999,47.354918
4,guided,1024,0.455788,47.194456
4,guided,1024,0.477359,47.440327
4,guided,1024,0.449104,44.568288
4,guided,1024,0.455397,26.214865
4,guided,1024,0.439950,25.882522
4,guided,2048,0.468901,25.830219
4,guided,2048,0.481965,26.280828
4,guided,2048,0.454423,37.039148
4,guided,2048,0.444331,42.939630
4,guided,2048,0.467077,44.920321
4,guided,4096,0.428543,43.498772
4,guided,4096,0.464511,44.052638
4,guided,4096,0.476226,43.419741
4,guided,4096,0.465341,43.132951
4,guided,4096,0.463618,45.098525
4,dynamic,16,0.620143,48.874959
4,dynamic,16,0.624797,47.263644
4,dynamic,16,0.653833,32.292002
4,dynamic,16,0.622636,32.062496
4,dynamic,16,0.670908,32.344637
4,dynamic,32,0.582880,29.524722
4,dynamic,32,0.588970,29.704697
4,dynamic,32,0.608388,29.604198
4,dynamic,32,0.601252,29.641297
4,dynamic,32,0.602286,29.653431
4,dynamic,64,0.526944,27.191635
4,dynamic,64,0.518285,27.204395
4,dynamic,64,0.506791,35.594002
4,dynamic,64,0.495626,44.159370
4,dynamic,64,0.479423,46.810946
4,dynamic,128,0.478964,44.080036
4,dynamic,128,0.473289,43.607284
4,dynamic,128,0.466448,43.818640
4,dynamic,128,0.455193,45.480228
4,dynamic,128,0.458894,34.008805
4,dynamic,256,0.477281,26.436622
4,dynamic,256,0.452040,32.982832
4,dynamic,256,0.473660,43.319341
4,dynamic,256,0.452481,44.168192
4,dynamic,256,0.478798,43.774370
4,dynamic,512,0.448653,45.305234
4,dynamic,512,0.434837,43.915757
4,dynamic,512,0.445673,43.607125
4,dynamic,512,0.441342,43.611258
4,dynamic,512,0.458771,45.319887
4,dynamic,1024,0.450969,41.996929
4,dynamic,1024,0.427383,42.400972
4,dynamic,1024,0.473460,42.130176
4,dynamic,1024,0.474201,42.701544
4,dynamic,1024,0.449083,44.254948
4,dynamic,2048,0.441602,41.897645
4,dynamic,2048,0.439449,41.454531
4,dynamic,2048,0.448099,40.465435
4,dynamic,2048,0.430172,39.509846
4,dynamic,2048,0.470485,38.914439
4,dynamic,4096,0.436642,41.017175
4,dynamic,4096,0.472940,40.994942
4,dynamic,4096,0.456134,40.993110
4,dynamic,4096,0.470136,40.810669
4,dynamic,4096,0.452147,40.756330
8,static,16,0.423516,38.989524
8,static,16,0.423005,42.304636
8,static,16,0.456546,43.718852
8,static,16,0.398869,42.211814
8,static,16,0.419376,43.026014
8,static,32,0.433720,44.295627
8,static,32,0.417114,42.112146
8,static,32,0.441667,44.499809
8,static,32,0.446630,42.136938
8,static,32,0.417149,42.282379
8,static,64,0.435166,42.026616
8,static,64,0.453471,42.238736
8,static,64,0.442653,44.248073
8,static,64,0.462436,42.104450
8,static,64,0.462051,42.683793
8,static,128,0.431187,42.168701
8,static,128,0.417769,41.631187
8,static,128,0.436280,42.735819
8,static,128,0.440513,43.942521
8,static,128,0.411911,40.731306
8,static,256,0.413250,40.677771
8,static,256,0.400590,40.532839
8,static,256,0.403209,39.771267
8,static,256,0.436014,40.394910
8,static,256,0.417007,38.212397
8,static,512,0.436620,42.492203
8,static,512,0.389236,42.238672
8,static,512,0.414779,41.945684
8,static,512,0.410995,43.214758
8,static,512,0.431193,43.605884
8,static,1024,0.437497,42.483398
8,static,1024,0.443892,41.743217
8,static,1024,0.423346,41.879020
8,static,1024,0.408772,43.745665
8,static,1024,0.424314,43.180084
8,static,2048,0.452455,46.515422
8,static,2048,0.410047,45.434866
8,static,2048,0.415787,44.177210
8,static,2048,0.434819,46.021954
8,static,2048,0.440977,46.010023
8,static,4096,0.408092,42.702602
8,static,4096,0.418086,46.346583
8,static,4096,0.439066,43.277672
8,static,4096,0.440614,46.458288
8,static,4096,0.441175,46.054806
8,guided,16,0.394587,43.111165
8,guided,16,0.406078,45.183585
8,guided,16,0.431755,43.275263
8,guided,16,0.419385,46.195414
8,guided,16,0.394223,45.843244
8,guided,32,0.394318,46.204868
8,guided,32,0.415758,43.181313
8,guided,32,0.431911,46.206488
8,guided,32,0.423786,46.287369
8,guided,32,0.424371,46.134218
8,guided,64,0.417255,45.928588
8,guided,64,0.421933,38.019493
8,guided,64,0.418912,38.021195
8,guided,64,0.390886,24.973445
8,guided,64,0.395043,24.779428
8,guided,128,0.419079,24.897530
8,guided,128,0.389352,25.119942
8,guided,128,0.432078,25.285038
8,guided,128,0.419198,24.932644
8,guided,128,0.401641,25.059166
8,guided,256,0.397968,39.977921
8,guided,256,0.421785,25.777150
8,guided,256,0.389918,24.960333
8,guided,256,0.393702,24.837069
8,guided,256,0.430714,25.151570
8,guided,512,0.361290,25.027126
8,guided,512,0.419044,24.868775
8,guided,512,0.417208,26.449432
8,guided,512,0.428944,27.386382
8,guided,512,0.430723,25.382165
8,guided,1024,0.414563,24.969156
8,guided,1024,0.403267,25.792521
8,guided,1024,0.396236,38.894059
8,guided,1024,0.435730,36.829424
8,guided,1024,0.394728,35.696455
8,guided,2048,0.393687,38.466196
8,guided,2048,0.413193,39.929191
8,guided,2048,0.423943,39.858525
8,guided,2048,0.397490,39.016753
8,guided,2048,0.410363,25.147145
8,guided,4096,0.403910,24.920436
8,guided,4096,0.424612,25.183639
8,guided,4096,0.411914,25.197277
8,guided,4096,0.416819,25.038908
8,guided,4096,0.423927,24.991986
8,dynamic,16,0.613528,29.911625
8,dynamic,16,0.620012,29.804667
8,dynamic,16,0.573827,29.819252
8,dynamic,16,0.577846,29.752973
8,dynamic,16,0.600754,29.802139
8,dynamic,32,0.530068,27.905822
8,dynamic,32,0.530104,27.863449
8,dynamic,32,0.518882,27.822120
8,dynamic,32,0.513314,27.887152
8,dynamic,32,0.513106,27.695307
8,dynamic,64,0.448854,26.102522
8,dynamic,64,0.466038,26.277995
8,dynamic,64,0.458423,26.482242
8,dynamic,64,0.477597,26.357366
