Threads,Schedule,ChunkSize,Time (s),TotalTime
2,static,16,0.033512,45.893861
2,static,16,0.034039,48.994047
2,static,16,0.018822,46.885444
2,static,16,0.033038,49.204811
2,static,16,0.020762,45.827593
2,static,32,0.031020,48.738249
2,static,32,0.035222,46.840585
2,static,32,0.017423,48.828159
2,static,32,0.018299,46.107691
2,static,32,0.017849,48.601213
2,static,64,0.032129,44.946531
2,static,64,0.017855,46.697479
2,static,64,0.034896,46.991570
2,static,64,0.033009,46.474651
2,static,64,0.032967,45.799823
2,static,128,0.032488,45.972679
2,static,128,0.034931,48.241835
2,static,128,0.017499,45.474446
2,static,128,0.031861,48.420395
2,static,128,0.033213,43.983809
2,static,256,0.032009,44.360737
2,static,256,0.031106,37.063786
2,static,256,0.033901,28.756718
2,static,256,0.031292,28.619950
2,static,256,0.029325,28.932227
2,static,512,0.028394,28.429992
2,static,512,0.032015,35.343484
2,static,512,0.017733,45.086194
2,static,512,0.020402,44.440689
2,static,512,0.028535,45.533226
2,static,1024,0.032691,45.082503
2,static,1024,0.031178,45.735230
2,static,1024,0.033262,43.224135
2,static,1024,0.014658,45.647382
2,static,1024,0.015206,44.005903
2,static,2048,0.014782,33.817963
2,static,2048,0.015447,28.506038
2,static,2048,0.028838,28.756286
2,static,2048,0.029520,28.598868
2,static,2048,0.029050,32.616868
2,static,4096,0.032131,45.340168
2,static,4096,0.031436,44.524274
2,static,4096,0.029383,44.601441
2,static,4096,0.031255,45.328136
2,static,4096,0.031456,45.715300
2,guided,16,0.030692,46.406507
2,guided,16,0.029165,45.267285
2,guided,16,0.028577,43.288469
2,guided,16,0.029471,45.439401
2,guided,16,0.014536,45.526241
2,guided,32,0.032095,44.847340
2,guided,32,0.015086,47.875309
2,guided,32,0.018199,45.545496
2,guided,32,0.028533,44.547694
2,guided,32,0.032161,45.388476
2,guided,64,0.031199,45.545335
2,guided,64,0.031875,44.977222
2,guided,64,0.030813,48.133692
2,guided,64,0.032152,44.959039
2,guided,64,0.031223,43.627499
2,guided,128,0.032005,47.487723
2,guided,128,0.015091,45.595036
2,guided,128,0.029318,46.911329
2,guided,128,0.031163,46.417177
2,guided,128,0.032112,45.148911
2,guided,256,0.032195,46.798139
2,guided,256,0.032073,46.123105
2,guided,256,0.028656,46.147403
2,guided,256,0.031364,46.999289
2,guided,256,0.030670,45.770244
2,guided,512,0.015948,46.474013
2,guided,512,0.028435,46.081707
2,guided,512,0.032066,45.144065
2,guided,512,0.028766,47.909030
2,guided,512,0.029560,46.175901
2,guided,1024,0.031232,46.573511
2,guided,1024,0.032011,45.931015
2,guided,1024,0.028430,46.329689
2,guided,1024,0.029601,47.085318
2,guided,1024,0.028623,45.282948
2,guided,2048,0.032162,47.966186
2,guided,2048,0.019440,46.498002
2,guided,2048,0.028986,46.494685
2,guided,2048,0.030565,46.429622
2,guided,2048,0.031923,44.780355
2,guided,4096,0.028448,48.562968
2,guided,4096,0.029752,45.755224
2,guided,4096,0.032044,47.367333
2,guided,4096,0.031985,45.824504
2,guided,4096,0.029450,44.369347
2,dynamic,16,0.032151,53.209413
2,dynamic,16,0.015176,52.203283
2,dynamic,16,0.017382,49.621632
2,dynamic,16,0.032075,51.693164
2,dynamic,16,0.030765,53.517896
2,dynamic,32,0.031200,48.778960
2,dynamic,32,0.032167,51.301137
2,dynamic,32,0.031314,52.439556
2,dynamic,32,0.028492,33.470988
2,dynamic,32,0.032227,33.564576
2,dynamic,64,0.028735,31.422119
2,dynamic,64,0.015721,31.056721
2,dynamic,64,0.017912,31.194245
2,dynamic,64,0.015415,30.949688
2,dynamic,64,0.028452,30.958382
2,dynamic,128,0.032058,29.567010
2,dynamic,128,0.015071,29.759400
2,dynamic,128,0.030605,29.696282
2,dynamic,128,0.017521,30.112786
2,dynamic,128,0.029410,32.871530
2,dynamic,256,0.028550,30.893489
2,dynamic,256,0.029648,29.304713
2,dynamic,256,0.029092,29.223831
2,dynamic,256,0.032164,29.371797
2,dynamic,256,0.031205,29.120272
2,dynamic,512,0.029351,28.928137
2,dynamic,512,0.019331,28.807468
2,dynamic,512,0.032320,28.905399
2,dynamic,512,0.029112,28.931428
2,dynamic,512,0.029333,28.912368
2,dynamic,1024,0.031953,28.798553
2,dynamic,1024,0.029927,29.070462
2,dynamic,1024,0.017558,28.807916
2,dynamic,1024,0.031746,29.180091
2,dynamic,1024,0.031210,28.748748
2,dynamic,2048,0.032051,28.643283
2,dynamic,2048,0.014808,28.847808
2,dynamic,2048,0.015983,28.571399
2,dynamic,2048,0.031188,28.855188
2,dynamic,2048,0.029872,28.639973
2,dynamic,4096,0.032281,29.676290
2,dynamic,4096,0.029437,31.428111
2,dynamic,4096,0.030576,38.061863
2,dynamic,4096,0.029473,28.806389
2,dynamic,4096,0.031125,44.962405
4,static,16,0.015169,43.619094
4,static,16,0.030267,43.540177
4,static,16,0.032204,45.387686
4,static,16,0.028677,41.095547
4,static,16,0.030092,41.448829
4,static,32,0.014645,40.683536
4,static,32,0.019810,41.071787
4,static,32,0.014783,40.426786
4,static,32,0.015862,38.855284
4,static,32,0.030356,39.792106
4,static,64,0.032850,39.688071
4,static,64,0.015181,49.404979
4,static,64,0.018286,40.155689
4,static,64,0.028925,37.969827
4,static,64,0.029570,40.840908
4,static,128,0.014671,44.021989
4,static,128,0.031671,42.624048
4,static,128,0.014502,39.208595
4,static,128,0.029485,38.548790
4,static,128,0.028563,31.970167
4,static,256,0.015357,33.503446
4,static,256,0.028614,40.992065
4,static,256,0.029506,41.103294
4,static,256,0.017491,41.095652
4,static,256,0.015361,41.341846
4,static,512,0.014750,41.420760
4,static,512,0.019452,47.149706
4,static,512,0.014591,43.924970
4,static,512,0.031920,44.102953
4,static,512,0.028639,44.160042
4,static,1024,0.032113,60.326102
4,static,1024,0.031878,64.163497
4,static,1024,0.031559,60.695023
4,static,1024,0.031282,62.511869
4,static,1024,0.031712,44.645349
4,static,2048,0.031195,42.828927
4,static,2048,0.031863,42.849795
4,static,2048,0.017416,53.091156
4,static,2048,0.029948,42.917335
4,static,2048,0.028674,43.636922
4,static,4096,0.029263,42.554107
4,static,4096,0.028409,45.222309
4,static,4096,0.029535,43.780211
4,static,4096,0.031353,44.503601
4,static,4096,0.030880,46.146274
4,guided,16,0.030340,45.590698
4,guided,16,0.031439,44.711995
4,guided,16,0.030359,43.314437
