Threads,Schedule,ChunkSize,Time (s),TotalTime
2,static,16,5.755085,45.893861
2,static,16,6.192287,48.994047
2,static,16,5.924969,46.885444
2,static,16,6.220054,49.204811
2,static,16,6.053778,45.827593
2,static,32,6.211178,48.738249
2,static,32,6.138505,46.840585
2,static,32,6.202922,48.828159
2,static,32,5.738022,46.107691
2,static,32,6.197621,48.601213
2,static,64,4.585936,44.946531
2,static,64,6.210674,46.697479
2,static,64,5.994608,46.991570
2,static,64,6.187881,46.474651
2,static,64,3.910019,45.799823
2,static,128,5.909454,45.972679
2,static,128,6.212680,48.241835
2,static,128,5.621477,45.474446
2,static,128,6.219258,48.420395
2,static,128,3.515826,43.983809
2,static,256,5.744584,44.360737
2,static,256,6.206602,37.063786
2,static,256,3.220401,28.756718
2,static,256,3.167634,28.619950
2,static,256,3.174168,28.932227
2,static,512,3.188813,28.429992
2,static,512,3.181447,35.343484
2,static,512,5.739710,45.086194
2,static,512,6.222147,44.440689
2,static,512,5.734154,45.533226
2,static,1024,3.390815,45.082503
2,static,1024,5.541767,45.735230
2,static,1024,4.622274,43.224135
2,static,1024,6.228554,45.647382
2,static,1024,6.237150,44.005903
2,static,2048,5.816044,33.817963
2,static,2048,3.209916,28.506038
2,static,2048,3.206440,28.756286
2,static,2048,3.213556,28.598868
2,static,2048,3.204838,32.616868
2,static,4096,6.188402,45.340168
2,static,4096,5.671774,44.524274
2,static,4096,6.342544,44.601441
2,static,4096,6.317905,45.328136
2,static,4096,5.489876,45.715300
2,guided,16,4.112936,46.406507
2,guided,16,5.322361,45.267285
2,guided,16,4.066793,43.288469
2,guided,16,6.373761,45.439401
2,guided,16,6.326864,45.526241
2,guided,32,6.280053,44.847340
2,guided,32,6.369041,47.875309
2,guided,32,3.334719,45.545496
2,guided,32,4.718246,44.547694
2,guided,32,6.315516,45.388476
2,guided,64,6.297124,45.545335
2,guided,64,6.346018,44.977222
2,guided,64,6.328572,48.133692
2,guided,64,4.072049,44.959039
2,guided,64,4.714905,43.627499
2,guided,128,6.308206,47.487723
2,guided,128,5.619879,45.595036
2,guided,128,6.283040,46.911329
2,guided,128,3.961192,46.417177
2,guided,128,4.902905,45.148911
2,guided,256,6.309782,46.798139
2,guided,256,5.659213,46.123105
2,guided,256,6.357347,46.147403
2,guided,256,4.551680,46.999289
2,guided,256,5.812808,45.770244
2,guided,512,6.384826,46.474013
2,guided,512,6.042467,46.081707
2,guided,512,6.284990,45.144065
2,guided,512,5.540683,47.909030
2,guided,512,6.128721,46.175901
2,guided,1024,6.304210,46.573511
2,guided,1024,5.772777,45.931015
2,guided,1024,6.376185,46.329689
2,guided,1024,4.781105,47.085318
2,guided,1024,5.310152,45.282948
2,guided,2048,6.331640,47.966186
2,guided,2048,5.485287,46.498002
2,guided,2048,6.276777,46.494685
2,guided,2048,4.096739,46.429622
2,guided,2048,5.148128,44.780355
2,guided,4096,6.307838,48.562968
2,guided,4096,5.572555,45.755224
2,guided,4096,6.314971,47.367333
2,guided,4096,3.408742,45.824504
2,guided,4096,5.143911,44.369347
2,dynamic,16,6.302911,53.209413
2,dynamic,16,6.220346,52.203283
2,dynamic,16,5.092470,49.621632
2,dynamic,16,6.214589,51.693164
2,dynamic,16,6.209958,53.517896
2,dynamic,32,5.822747,48.778960
2,dynamic,32,6.218550,51.301137
2,dynamic,32,6.199151,52.439556
2,dynamic,32,3.180769,33.470988
2,dynamic,32,3.198462,33.564576
2,dynamic,64,3.212139,31.422119
2,dynamic,64,3.234591,31.056721
2,dynamic,64,3.200517,31.194245
2,dynamic,64,3.191029,30.949688
2,dynamic,64,3.196209,30.958382
2,dynamic,128,3.174210,29.567010
2,dynamic,128,3.170036,29.759400
2,dynamic,128,3.167770,29.696282
2,dynamic,128,3.141639,30.112786
2,dynamic,128,3.413487,32.871530
2,dynamic,256,3.516057,30.893489
2,dynamic,256,3.200936,29.304713
2,dynamic,256,3.149308,29.223831
2,dynamic,256,3.137995,29.371797
2,dynamic,256,3.145953,29.120272
2,dynamic,512,3.161088,28.928137
2,dynamic,512,3.071141,28.807468
2,dynamic,512,3.174863,28.905399
2,dynamic,512,3.169931,28.931428
2,dynamic,512,3.188594,28.912368
2,dynamic,1024,3.185058,28.798553
2,dynamic,1024,3.187977,29.070462
2,dynamic,1024,3.206173,28.807916
2,dynamic,1024,3.127176,29.180091
2,dynamic,1024,3.139331,28.748748
2,dynamic,2048,3.133063,28.643283
2,dynamic,2048,3.133753,28.847808
2,dynamic,2048,3.150362,28.571399
2,dynamic,2048,3.176946,28.855188
2,dynamic,2048,3.147691,28.639973
2,dynamic,4096,3.165672,29.676290
2,dynamic,4096,3.766750,31.428111
2,dynamic,4096,3.466170,38.061863
2,dynamic,4096,3.354325,28.806389
2,dynamic,4096,3.143424,44.962405
4,static,16,5.321868,43.619094
4,static,16,6.224770,43.540177
4,static,16,6.206002,45.387686
4,static,16,5.780464,41.095547
4,static,16,6.229708,41.448829
4,static,32,6.227948,40.683536
4,static,32,6.208366,41.071787
4,static,32,6.106244,40.426786
4,static,32,6.006397,38.855284
4,static,32,5.998928,39.792106
4,static,64,5.925173,39.688071
4,static,64,5.944822,49.404979
4,static,64,5.917215,40.155689
4,static,64,5.930724,37.969827
4,static,64,5.324422,40.840908
4,static,128,4.352313,44.021989
4,static,128,3.242579,42.624048
4,static,128,3.305078,39.208595
4,static,128,6.037000,38.548790
4,static,128,6.087658,31.970167
4,static,256,3.184172,33.503446
4,static,256,5.791039,40.992065
4,static,256,5.791026,41.103294
4,static,256,5.846825,41.095652
4,static,256,5.956673,41.341846
4,static,512,5.992956,41.420760
4,static,512,9.224838,47.149706
4,static,512,6.214803,43.924970
4,static,512,6.254693,44.102953
4,static,512,5.741321,44.160042
4,static,1024,6.218568,60.326102
4,static,1024,8.612766,64.163497
