Label,Num Threads,Schedule,ChunkSize,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
"OpenMP: Threads 2, Schedule dynamic, ChunkSize 16",2,dynamic,16,0.0317,0.9497,0.7523,6.0458,4.0572,6.237,16.1219,18.4583,52.3686
"OpenMP: Threads 2, Schedule dynamic, ChunkSize 32",2,dynamic,32,0.0317,0.92,0.686,5.2843,3.5014,6.0801,16.5014,14.052,50.04
"OpenMP: Threads 2, Schedule dynamic, ChunkSize 64",2,dynamic,64,0.0163,0.7317,0.5989,4.0013,2.6638,3.203,9.8983,9.9244,31.0398
"OpenMP: Threads 2, Schedule dynamic, ChunkSize 128",2,dynamic,128,0.03,0.6486,0.5844,3.5351,1.999,3.1634,9.8654,9.9769,29.7839
"OpenMP: Threads 2, Schedule dynamic, ChunkSize 256",2,dynamic,256,0.03,0.653,0.5667,3.3231,1.7976,3.1585,9.8102,9.8653,29.2552
"OpenMP: Threads 2, Schedule dynamic, ChunkSize 512",2,dynamic,512,0.0293,0.6519,0.5575,3.2697,1.6854,3.1736,9.7547,9.7768,28.9193
"OpenMP: Threads 2, Schedule dynamic, ChunkSize 1024",2,dynamic,1024,0.0312,0.6328,0.5436,3.201,1.6314,3.1708,9.7624,9.8044,28.8923
"OpenMP: Threads 2, Schedule dynamic, ChunkSize 2048",2,dynamic,2048,0.031,0.6655,0.5388,3.2079,1.588,3.1412,9.7098,9.767,28.6416
"OpenMP: Threads 2, Schedule dynamic, ChunkSize 4096",2,dynamic,4096,0.0309,0.6597,0.5465,3.1387,1.5693,3.3287,10.1243,10.5081,31.9932
"OpenMP: Threads 2, Schedule guided, ChunkSize 16",2,guided,16,0.0295,0.6512,0.5391,3.1103,1.5447,5.3224,18.2635,16.1071,45.411
"OpenMP: Threads 2, Schedule guided, ChunkSize 32",2,guided,32,0.0277,0.6432,0.5438,3.0937,1.5608,5.9207,17.9716,17.2728,45.0823
"OpenMP: Threads 2, Schedule guided, ChunkSize 64",2,guided,64,0.0314,0.6564,0.5378,3.2165,1.5928,5.9217,17.5403,17.6007,45.1605
"OpenMP: Threads 2, Schedule guided, ChunkSize 128",2,guided,128,0.0311,0.6468,0.5373,3.1941,1.612,5.6019,18.0319,17.9633,46.3078
"OpenMP: Threads 2, Schedule guided, ChunkSize 256",2,guided,256,0.0316,0.6168,0.5455,3.1155,1.5486,6.0348,17.9457,18.4359,46.3562
"OpenMP: Threads 2, Schedule guided, ChunkSize 512",2,guided,512,0.0297,0.6282,0.5208,3.0939,1.5448,6.1521,17.5733,18.1903,46.2439
"OpenMP: Threads 2, Schedule guided, ChunkSize 1024",2,guided,1024,0.0298,0.6534,0.5396,3.0977,1.552,5.5415,18.1338,18.3959,46.2781
"OpenMP: Threads 2, Schedule guided, ChunkSize 2048",2,guided,2048,0.0309,0.6311,0.5271,3.0998,1.5433,5.3167,18.5286,17.7936,46.4741
"OpenMP: Threads 2, Schedule guided, ChunkSize 4096",2,guided,4096,0.0296,0.6298,0.5429,3.1039,1.5574,5.8348,17.8351,17.9245,46.3157
"OpenMP: Threads 2, Schedule static, ChunkSize 16",2,static,16,0.0335,0.527,0.5964,3.5919,1.7214,6.057,18.1989,18.2949,46.8854
"OpenMP: Threads 2, Schedule static, ChunkSize 32",2,static,32,0.0211,0.6493,0.5429,3.3361,1.6894,6.1876,18.1111,18.1737,48.2521
"OpenMP: Threads 2, Schedule static, ChunkSize 64",2,static,64,0.0333,0.6665,0.5586,3.2645,1.6354,5.7448,18.4102,17.6912,46.324
"OpenMP: Threads 2, Schedule static, ChunkSize 128",2,static,128,0.0331,0.6654,0.5549,3.1456,1.5777,5.9907,18.3154,17.2879,45.7236
"OpenMP: Threads 2, Schedule static, ChunkSize 256",2,static,256,0.0315,0.6648,0.5527,3.1539,1.5925,3.1874,11.0746,9.7785,30.8432
"OpenMP: Threads 2, Schedule static, ChunkSize 512",2,static,512,0.0258,0.4823,0.514,3.1313,1.5491,5.7369,13.2101,17.7966,42.6009
"OpenMP: Threads 2, Schedule static, ChunkSize 1024",2,static,1024,0.0324,0.6602,0.5578,3.1367,1.6399,5.6574,18.1455,15.6543,44.9119
"OpenMP: Threads 2, Schedule static, ChunkSize 2048",2,static,2048,0.0291,0.6491,0.5459,3.1434,1.619,3.2087,9.8173,9.7661,29.6195
"OpenMP: Threads 2, Schedule static, ChunkSize 4096",2,static,4096,0.0314,0.6605,0.5619,3.2401,1.5955,6.1302,15.4918,17.9121,45.3342
"OpenMP: Threads 4, Schedule dynamic, ChunkSize 16",4,dynamic,16,0.031,1.0271,0.6304,3.9427,3.5066,3.5192,11.221,11.322,32.233
"OpenMP: Threads 4, Schedule dynamic, ChunkSize 32",4,dynamic,32,0.0312,0.7703,0.5975,3.2205,2.3221,3.1731,9.7521,9.7649,29.633
"OpenMP: Threads 4, Schedule dynamic, ChunkSize 64",4,dynamic,64,0.0314,0.4545,0.5069,2.3447,1.4901,3.1452,10.9934,18.1104,39.8767
