Node,Processes,Num Threads,Schedule,ChunkSize,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
1,1,2,static,16,0.033512,0.636826,0.602158,3.507921,1.713827,5.755085,15.342228,18.294659,45.893861
1,1,2,static,16,0.034039,0.49581,0.592993,3.591231,1.75329,6.192287,17.938897,18.388026,48.994047
1,1,2,static,16,0.018822,0.489257,0.568506,3.62355,1.784258,5.924969,18.299292,16.169152,46.885444
1,1,2,static,16,0.033038,0.596018,0.597248,3.619725,1.691313,6.220054,18.358577,18.081472,49.204811
1,1,2,static,16,0.020762,0.388702,0.593177,3.564861,1.697038,6.053778,15.086687,18.415261,45.827593
1,1,2,static,32,0.03102,0.38631,0.579143,3.336685,1.693428,6.211178,18.09033,18.402771,48.738249
1,1,2,static,32,0.035222,0.637197,0.547895,3.329012,1.664872,6.138505,18.395358,16.085207,46.840585
1,1,2,static,32,0.017423,0.646856,0.534103,3.332799,1.686235,6.202922,18.752493,17.64757,48.828159
1,1,2,static,32,0.018299,0.391842,0.554808,3.345779,1.692845,5.738022,16.093516,18.264868,46.107691
1,1,2,static,32,0.017849,0.663718,0.534922,3.267486,1.68507,6.197621,17.847533,18.379742,48.601213
1,1,2,static,64,0.032129,0.592029,0.572956,3.226034,1.676015,4.585936,18.265335,15.988673,44.946531
1,1,2,static,64,0.017855,0.670549,0.536099,3.278767,1.628015,6.210674,18.39875,15.9493,46.697479
1,1,2,static,64,0.034896,0.671632,0.553632,3.273838,1.635552,5.994608,16.038487,18.781152,46.99157
1,1,2,static,64,0.033009,0.656121,0.560766,3.240904,1.629385,6.187881,15.887006,18.271555,46.474651
1,1,2,static,64,0.032967,0.667859,0.561253,3.293944,1.648594,3.910019,18.566579,17.110935,45.799823
1,1,2,static,128,0.032488,0.65832,0.560391,3.157844,1.557436,5.909454,18.286257,15.802975,45.972679
1,1,2,static,128,0.034931,0.679009,0.545431,3.122944,1.579374,6.21268,18.771984,17.287907,48.241835
1,1,2,static,128,0.017499,0.666779,0.518814,3.138096,1.580745,5.621477,15.508305,18.415115,45.474446
1,1,2,static,128,0.031861,0.663463,0.559741,3.145629,1.569916,6.219258,17.842908,18.380194,48.420395
1,1,2,static,128,0.033213,0.666013,0.554029,3.152943,1.580946,3.515826,18.360632,16.112466,43.983809
1,1,2,static,256,0.032009,0.665141,0.565188,3.172591,1.582451,5.744584,18.315214,14.276081,44.360737
1,1,2,static,256,0.031106,0.657213,0.545833,3.152084,1.58479,6.206602,15.060395,9.818228,37.063786
1,1,2,static,256,0.033901,0.66664,0.523014,3.150633,1.601995,3.220401,9.767846,9.78486,28.756718
1,1,2,static,256,0.031292,0.662626,0.547104,3.140116,1.600879,3.167634,9.732094,9.73018,28.61995
1,1,2,static,256,0.029325,0.681044,0.569088,3.279243,1.672869,3.174168,9.738197,9.780776,28.932227
1,1,2,static,512,0.028394,0.481527,0.538308,3.173324,1.502193,3.188813,9.763197,9.746773,28.429992
1,1,2,static,512,0.032015,0.480027,0.473387,3.089382,1.47798,3.181447,10.75629,15.845606,35.343484
1,1,2,static,512,0.017733,0.659238,0.497929,3.152948,1.567494,5.73971,14.858938,18.584772,45.086194
1,1,2,static,512,0.020402,0.48564,0.524535,3.151568,1.56957,6.222147,14.015077,18.44421,44.440689
1,1,2,static,512,0.028535,0.481979,0.519561,3.064107,1.557148,5.734154,15.828442,18.311792,45.533226
1,1,2,static,1024,0.032691,0.658186,0.570853,3.138422,1.583618,3.390815,17.534821,18.165505,45.082503
1,1,2,static,1024,0.031178,0.662978,0.550663,3.113272,1.643952,5.541767,18.263772,15.920058,45.73523
1,1,2,static,1024,0.033262,0.659014,0.564972,3.140396,1.635893,4.622274,18.375873,14.184862,43.224135
1,1,2,static,1024,0.014658,0.599623,0.526747,3.145389,1.661393,6.228554,18.407636,15.055589,45.647382
1,1,2,static,1024,0.015206,0.660595,0.520156,3.131374,1.587924,6.23715,15.858687,15.987348,44.005903
1,1,2,static,2048,0.014782,0.704463,0.736547,3.145687,1.621732,5.816044,11.978997,9.792087,33.817963
1,1,2,static,2048,0.015447,0.477959,0.527279,3.159141,1.574506,3.209916,9.786931,9.747159,28.506038
1,1,2,static,2048,0.028838,0.657066,0.548584,3.132206,1.646838,3.20644,9.741147,9.787794,28.756286
1,1,2,static,2048,0.02952,0.641202,0.539739,3.136387,1.588527,3.213556,9.705167,9.737178,28.598868
1,1,2,static,2048,0.02905,0.509791,0.567882,3.224462,1.706936,3.204838,10.035874,13.330469,32.616868
1,1,2,static,4096,0.032131,0.664142,0.550598,3.226134,1.621498,6.188402,17.338344,15.711081,45.340168
1,1,2,static,4096,0.031436,0.656784,0.560423,3.230325,1.551203,5.671774,15.817668,16.997317,44.524274
1,1,2,static,4096,0.029383,0.672594,0.573628,3.254778,1.626608,6.342544,13.936437,18.158031,44.601441
1,1,2,static,4096,0.031255,0.653044,0.555478,3.141225,1.599026,6.317905,14.828498,18.194169,45.328136
1,1,2,static,4096,0.031456,0.67351,0.569862,3.249188,1.56587,5.489876,15.829122,18.298849,45.7153
1,1,2,guided,16,0.030692,0.653414,0.528508,3.228958,1.514792,4.112936,18.349964,17.979719,46.406507
1,1,2,guided,16,0.029165,0.634458,0.540656,3.10524,1.529082,5.322361,18.324288,15.774591,45.267285
1,1,2,guided,16,0.028577,0.513827,0.553502,3.097731,1.555973,4.066793,18.132111,15.332418,43.288469
1,1,2,guided,16,0.029471,0.652543,0.548035,3.115122,1.564619,6.373761,18.247752,14.900637,45.439401
1,1,2,guided,16,0.014536,0.664507,0.514977,3.123141,1.549195,6.326864,16.11139,17.214355,45.526241
1,1,2,guided,32,0.032095,0.65951,0.545255,3.09857,1.541905,6.280053,14.479958,18.202487,44.84734
1,1,2,guided,32,0.015086,0.676233,0.509297,3.227681,1.627278,6.369041,16.980603,18.462484,47.875309
1,1,2,guided,32,0.018199,0.608769,0.537258,3.099204,1.547858,3.334719,18.66677,17.72524,45.545496
1,1,2,guided,32,0.028533,0.646118,0.543739,3.102511,1.550853,4.718246,18.05932,15.890753,44.547694
1,1,2,guided,32,0.032161,0.62393,0.548925,3.074625,1.602755,6.315516,18.179533,15.003482,45.388476
1,1,2,guided,64,0.031199,0.675096,0.533525,3.21557,1.604845,6.297124,16.002331,17.17811,45.545335
1,1,2,guided,64,0.031875,0.661476,0.558753,3.212671,1.619472,6.346018,14.313423,18.226044,44.977222
1,1,2,guided,64,0.030813,0.643392,0.531145,3.218845,1.536177,6.328572,17.561891,18.275355,48.133692
1,1,2,guided,64,0.032152,0.603877,0.548822,3.118316,1.554032,4.072049,18.298783,16.723441,44.959039
1,1,2,guided,64,0.031223,0.664204,0.519829,3.219011,1.633019,4.714905,18.29829,14.539162,43.627499
1,1,2,guided,128,0.032005,0.664325,0.528374,3.125397,1.5524,6.308206,17.816047,17.453507,47.487723
1,1,2,guided,128,0.015091,0.631981,0.520081,3.078508,1.607538,5.619879,15.932079,18.182154,45.595036
1,1,2,guided,128,0.029318,0.646822,0.540849,3.214725,1.616418,6.28304,16.279834,18.292889,46.911329
1,1,2,guided,128,0.031163,0.62846,0.548888,3.215643,1.62495,3.961192,18.474721,17.924502,46.417177
1,1,2,guided,128,0.032112,0.66386,0.542734,3.2206,1.544097,4.902905,18.247686,15.987345,45.148911
1,1,2,guided,256,0.032195,0.624446,0.539358,3.116953,1.543722,6.309782,18.33571,16.288706,46.798139
1,1,2,guided,256,0.032073,0.609928,0.552091,3.114417,1.612887,5.659213,15.953274,18.581775,46.123105
1,1,2,guided,256,0.028656,0.599641,0.536379,3.124591,1.546404,6.357347,15.65687,18.289957,46.147403
1,1,2,guided,256,0.031364,0.634768,0.545094,3.099467,1.608073,4.55168,17.765827,18.755474,46.999289
1,1,2,guided,256,0.03067,0.615925,0.55404,3.115186,1.555545,5.812808,18.125643,15.953193,45.770244
1,1,2,guided,512,0.015948,0.628914,0.509254,3.097315,1.606912,6.384826,18.127221,16.095987,46.474013
1,1,2,guided,512,0.028435,0.621042,0.542529,3.094405,1.53318,6.042467,16.06542,18.146674,46.081707
1,1,2,guided,512,0.032066,0.619532,0.526943,3.090049,1.537402,6.28499,14.811497,18.233867,45.144065
1,1,2,guided,512,0.028766,0.634535,0.545565,3.110683,1.545161,5.540683,17.84394,18.651986,47.90903
1,1,2,guided,512,0.02956,0.652225,0.514741,3.071832,1.563372,6.128721,18.256786,15.951125,46.175901
1,1,2,guided,1024,0.031232,0.63349,0.537732,3.087399,1.549763,6.30421,18.227141,16.194875,46.573511
1,1,2,guided,1024,0.032011,0.656751,0.531845,3.118602,1.569119,5.772777,15.875411,18.366789,45.931015
1,1,2,guided,1024,0.02843,0.663486,0.548646,3.219901,1.550176,6.376185,15.516842,18.418338,46.329689
1,1,2,guided,1024,0.029601,0.648814,0.540129,3.085769,1.630406,4.781105,17.959104,18.402718,47.085318
1,1,2,guided,1024,0.028623,0.654513,0.541033,3.09899,1.538963,5.310152,18.21515,15.887815,45.282948
1,1,2,guided,2048,0.032162,0.640069,0.52288,3.202555,1.582536,6.33164,18.593733,17.052955,47.966186
1,1,2,guided,2048,0.01944,0.648236,0.542529,3.104425,1.557622,5.485287,15.995144,19.137671,46.498002
1,1,2,guided,2048,0.028986,0.604898,0.521183,3.095547,1.53935,6.276777,15.983006,18.437399,46.494685
1,1,2,guided,2048,0.030565,0.655367,0.551732,3.097537,1.53293,4.096739,18.566716,17.890546,46.429622
1,1,2,guided,2048,0.031923,0.583854,0.521796,3.101592,1.5207,5.148128,18.425401,15.439384,44.780355
1,1,2,guided,4096,0.028448,0.634783,0.544152,3.091363,1.570768,6.307838,18.572912,17.805375,48.562968
1,1,2,guided,4096,0.029752,0.607027,0.539953,3.104741,1.564027,5.572555,16.183838,18.145744,45.755224
1,1,2,guided,4096,0.032044,0.636911,0.547552,3.106518,1.555314,6.314971,16.679327,18.487387,47.367333
1,1,2,guided,4096,0.031985,0.666162,0.530029,3.112964,1.519555,3.408742,19.288007,17.259513,45.824504
