Node,Processes,Num Threads,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
1,1,1,0.032798,0.659199,0.726363,5.658286,2.581418,3.175989,9.93483,9.957188,32.733764
1,1,1,0.015473,0.627518,0.680087,5.669142,2.644371,3.181536,9.964688,10.005764,32.796257
1,1,1,0.031154,0.609828,0.712235,5.666964,2.580453,3.191838,9.991214,10.01827,32.809398
1,1,1,0.033163,0.647541,0.712906,5.81291,2.585232,3.231065,9.994616,9.982746,33.007807
1,1,1,0.032911,0.657729,0.723018,5.807066,2.648444,3.211466,9.98781,13.172119,36.248181
1,1,1,0.017178,0.696537,0.704283,5.813778,2.582091,3.183276,17.8529,18.040994,48.898565
1,1,1,0.022272,0.607151,0.702228,5.689046,2.59838,3.158937,9.929638,10.015857,32.731044
1,1,1,0.0304,0.728426,0.710294,5.699362,2.645628,3.201367,9.919659,10.015678,32.959214
1,1,1,0.031614,0.620678,0.708573,5.65813,2.580893,3.191816,10.011237,16.878841,39.689369
1,1,1,0.030752,0.663868,0.710421,5.669041,2.581911,5.205463,9.943524,9.993251,34.805892
1,1,1,0.020289,0.671541,0.704997,5.672101,2.572371,4.691466,17.728415,10.027439,42.096237
