Threads,Schedule,ChunkSize,Time (s),TotalTime
24,static,8,0.514005,2.723391
24,static,8,0.680817,2.899787
24,static,8,0.543065,2.744619
24,static,8,0.640785,2.784396
24,static,8,0.521607,2.517637
24,static,8,0.529755,2.652922
24,guided,8,0.238156,1.473880
24,guided,8,0.250585,1.486028
24,guided,8,0.271574,1.545375
24,guided,8,0.245819,1.482968
24,guided,8,0.247624,1.534208
24,guided,8,0.251539,1.643804
24,dynamic,8,2.368153,7.211657
24,dynamic,8,2.496539,7.255983
24,dynamic,8,2.457101,7.095497
24,dynamic,8,2.573812,7.428129
24,dynamic,8,2.547000,7.564067
24,dynamic,8,2.349205,7.186010
24,static,16,0.515930,2.438227
24,static,16,0.537732,2.464798
24,static,16,0.528562,2.355928
24,static,16,0.510340,2.303540
24,static,16,0.532750,2.349972
24,static,16,0.519876,2.347211
24,guided,16,0.256986,1.595840
24,guided,16,0.263197,1.642847
24,guided,16,0.263437,1.579535
24,guided,16,0.263810,1.519836
24,guided,16,0.270424,1.477524
24,guided,16,0.243423,1.525190
24,dynamic,16,1.534505,4.672385
24,dynamic,16,1.545394,4.857581
24,dynamic,16,1.678670,4.940785
24,dynamic,16,1.663079,4.999234
24,dynamic,16,1.682661,5.093389
24,dynamic,16,1.546050,4.862909
24,static,32,0.452081,2.097932
24,static,32,0.401890,2.108651
24,static,32,0.384613,1.996597
24,static,32,0.427568,2.193537
24,static,32,0.432774,2.100514
24,static,32,0.461614,2.143937
24,guided,32,0.266302,1.562238
24,guided,32,0.265530,1.615453
24,guided,32,0.263982,1.543039
24,guided,32,0.253608,1.529821
24,guided,32,0.265934,1.555938
24,guided,32,0.240462,1.483775
24,dynamic,32,1.135952,3.672450
24,dynamic,32,1.176588,3.823981
24,dynamic,32,1.081541,3.545135
24,dynamic,32,1.092198,3.575290
24,dynamic,32,1.039828,3.557613
24,dynamic,32,1.102803,3.809311
24,static,64,0.344793,1.872477
24,static,64,0.377017,2.078659
24,static,64,0.343714,1.889003
24,static,64,0.352556,1.936244
24,static,64,0.340170,1.899905
24,static,64,0.324074,1.872210
24,guided,64,0.250702,1.635330
24,guided,64,0.245852,1.547139
24,guided,64,0.250853,1.526854
24,guided,64,0.263963,1.577200
24,guided,64,0.251046,1.495144
24,guided,64,0.237046,1.511243
24,dynamic,64,0.697425,2.697680
24,dynamic,64,0.628758,2.712932
24,dynamic,64,0.602020,2.611770
24,dynamic,64,0.658392,2.828129
24,dynamic,64,0.533184,2.649575
24,dynamic,64,0.605754,2.742414
24,static,128,0.313298,1.873622
24,static,128,0.291876,1.876650
24,static,128,0.332166,1.999065
24,static,128,0.308610,1.875180
24,static,128,0.316173,1.959912
24,static,128,0.329740,1.904108
24,guided,128,0.258186,1.654523
24,guided,128,0.254007,1.522918
24,guided,128,0.244435,1.532414
24,guided,128,0.241677,1.493210
24,guided,128,0.248576,1.473267
24,guided,128,0.262319,1.550293
24,dynamic,128,0.415984,2.217453
24,dynamic,128,0.547341,2.580865
24,dynamic,128,0.481110,2.425572
24,dynamic,128,0.499318,2.468399
24,dynamic,128,0.517245,2.493016
24,dynamic,128,0.438115,2.386881
24,static,256,0.312804,1.891824
24,static,256,0.310583,1.787110
24,static,256,0.314573,1.922865
24,static,256,0.300790,1.879700
24,static,256,0.309945,1.832065
